 ,Atlanta,Boston,Brooklyn,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,San Francisco,Houston,Indiana,Los Angeles Clippers,Los Angeles Lakers,Memphis,Miami,Milwaukee,Minnesota,New Orleans,New York,Oklahoma City,Orlando,Philadelphia,Phoenix,Portland,Sacramento,San Antonio,Toronto,Utah,Washington
Atlanta,0,1075,866,244,716,710,781,1404,722,2474,793,573,2175,2175,385,663,814,1287,470,862,848,439,776,1846,2595,2469,988,952,1834,638
Boston,1075,0,216,840,982,640,1768,1972,707,3099,1848,937,2984,2984,1316,1491,1074,1548,1526,215,1676,1287,311,2635,3087,3012,2043,551,2400,440
Brooklyn,866,216,0,629,793,466,1553,1783,619,2910,1632,740,2795,2795,1101,1281,885,1358,1310,5,1453,1076,100,2412,2898,2823,1828,496,2210,229
Charlotte,244,840,629,0,755,515,1026,1564,629,2719,1038,602,2420,2420,620,729,853,1323,715,623,1093,524,538,2091,2755,2680,1233,758,1994,399
Chicago,716,982,793,755,0,344,967,1004,281,2131,1082,165,2016,2016,532,1377,92,566,925,789,794,1154,758,1753,2120,2045,1241,520,1432,700
Cleveland,710,640,466,515,344,0,1183,1332,169,2460,1297,298,2344,2344,731,1242,435,908,1054,462,1055,1037,431,2014,2448,2373,1456,292,1760,373
Dallas,781,1768,1553,1026,967,1183,0,794,1186,1732,239,937,1436,1436,452,1313,1003,1099,505,1549,206,1089,1468,1064,2035,1727,274,1416,1151,1329
Denver,1404,1972,1783,1564,1004,1332,794,0,1269,1254,1032,1123,1017,1017,1047,2064,1045,927,1300,1778,678,1840,1728,821,1243,1167,934,1508,433,1661
Detroit,722,707,619,629,281,169,1186,1269,0,3858,2114,432,3673,3673,1214,2245,615,1372,1734,1005,1686,1885,955,3230,3839,3718,2369,373,2732,862
San Francisco,2474,3099,2910,2719,2131,2460,1732,1254,3858,0,1929,2280,383,383,2092,3114,2174,1904,2275,2906,1627,2891,2875,754,635,88,1733,2637,889,2818
Houston,793,1848,1632,1038,1082,1297,239,1032,2114,1929,0,1052,1546,1546,568,1187,1172,1336,348,1629,445,963,1548,1174,2269,1929,197,1531,1385,1408
Indiana,573,937,740,602,165,298,937,1123,432,2280,1052,0,2105,2105,502,1234,262,733,860,738,777,1011,671,1737,2268,2192,1211,487,1553,604
Los Angeles Clippers,2175,2984,2795,2420,2016,2344,1436,1017,3673,383,1546,2105,0,0,1792,2733,2057,1893,1894,2790,1328,2510,2710,373,963,384,1353,2520,649,2668
Los Angeles Lakers,2175,2984,2795,2420,2016,2344,1436,1017,3673,383,1546,2105,0,0,1792,2733,2057,1893,1894,2790,1328,2510,2710,373,963,384,1353,2520,649,2668
Memphis,385,1316,1101,620,532,731,452,1047,1214,2092,568,502,1792,1792,0,1045,622,985,395,1097,466,822,1016,1424,2245,2087,726,972,1525,876
Miami,663,1491,1281,729,1377,1242,1313,2064,2245,3114,1187,1234,2733,2733,1045,0,1477,1950,866,1277,1511,236,1191,2361,3258,3116,1384,1486,2497,1053
Milwaukee,814,1074,885,853,92,435,1003,1045,615,2174,1172,262,2057,2057,622,1477,0,494,1014,880,869,1250,849,1829,2065,2087,1275,620,1474,791
Minnesota,1287,1548,1358,1323,566,908,1099,927,1372,1904,1336,733,1893,1893,985,1950,494,0,1379,1355,945,1724,1324,1742,1614,1800,1408,1091,1307,1266
New Orleans,470,1526,1310,715,925,1054,505,1300,1734,2275,348,860,1894,1894,395,866,1014,1379,0,1305,708,640,1224,1520,2537,2275,543,1294,1653,1084
New York,862,215,5,623,789,462,1549,1778,1005,2906,1629,738,2790,2790,1097,1277,880,1355,1305,0,1449,1073,97,2408,2894,2819,1824,492,2206,226
Oklahoma City,848,1676,1453,1093,794,1055,206,678,1686,1627,445,777,1328,1328,466,1511,869,945,708,1449,0,1286,1384,960,1910,1622,467,1257,1110,1342
Orlando,439,1287,1076,524,1154,1037,1089,1840,1885,2891,963,1011,2510,2510,822,236,1250,1724,640,1073,1286,0,985,2135,3032,2890,1158,1280,2271,846
Philadelphia,776,311,100,538,758,431,1468,1728,955,2875,1548,671,2710,2710,1016,1191,849,1324,1224,97,1384,985,0,2342,2863,2788,1742,498,2158,139
Phoenix,1846,2635,2412,2091,1753,2014,1064,821,3230,754,1174,1737,373,373,1424,2361,1829,1742,1520,2408,960,2135,2342,0,1334,755,981,2216,592,2301
Portland,2595,3087,2898,2755,2120,2448,2035,1243,3839,635,2269,2268,963,963,2245,3258,2065,1614,2537,2894,1910,3032,2863,1334,0,581,2071,2625,919,2806
Sacramento,2469,3012,2823,2680,2045,2373,1727,1167,3718,88,1929,2192,384,384,2087,3116,2087,1800,2275,2819,1622,2890,2788,755,581,0,1736,2550,802,2731
San Antonio,988,2043,1828,1233,1241,1456,274,934,2369,1733,197,1211,1353,1353,726,1384,1275,1408,543,1824,467,1158,1742,981,2071,1736,0,1689,1216,1604
Toronto,952,551,496,758,520,292,1416,1508,373,2637,1531,487,2520,2520,972,1486,620,1091,1294,492,1257,1280,498,2216,2625,2550,1689,0,3114,777
Utah,1834,2400,2210,1994,1432,1760,1151,433,2732,889,1385,1553,649,649,1525,2497,1474,1307,1653,2206,1110,2271,2158,592,919,802,1216,3114,0,2091
Washington,638,440,229,399,700,373,1329,1661,862,2818,1408,604,2668,2668,876,1053,791,1266,1084,226,1342,846,139,2301,2806,2731,1604,777,2091,0
