 ,Atlanta,Boston,Brooklyn,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,San Francisco,Houston,Indiana,Los Angeles,Los Angeles,Memphis,Miami,Milwaukee,Minnesota,New Orleans,New York,Oklahoma City,Orlando,Philadelphia,Phoenix,Portland,Sacramento,San Antonio,Toronto,Utah,Washington,Seattle,Vancouver
Atlanta,0,1075,866,244,716,710,781,1404,722,2475,793,573,2175,2175,385,663,814,1287,470,862,848,439,776,1846,2595,2469,988,952,1834,2565,2636,2772
Boston,1075,0,216,840,984,641,1768,1973,711,3100,1848,939,2985,2985,1316,1491,1075,1549,1526,215,1676,1286,311,2635,3089,3013,2043,550,2401,2975,3047,3182
Brooklyn,866,216,0,629,793,466,1557,1783,619,2910,1637,757,2795,2795,1105,1280,885,1358,1315,5,1452,1075,100,2411,2898,2823,1832,495,2210,2785,2856,2992
Charlotte,244,840,629,0,755,515,1026,1564,629,2712,1038,602,2413,2413,620,729,853,1323,715,623,1086,524,537,2091,2755,2680,1233,758,1994,2725,2796,2932
Chicago,716,984,793,755,0,344,967,1004,281,2131,1082,165,2016,2016,532,1377,92,566,925,789,794,1154,758,1753,2120,2045,1241,520,1432,1992,2063,2199
Cleveland,710,641,466,515,344,0,1183,1332,169,2460,1297,298,2344,2344,731,1241,435,908,1054,462,1055,1036,431,2014,2448,2373,1456,293,1760,2335,2406,2542
Dallas,781,1768,1557,1026,967,1183,0,794,1186,1733,239,937,1436,1436,453,1313,1004,1099,506,1549,206,1090,1468,1064,2035,1726,274,1415,1151,2075,2109,2245
Denver,1404,1973,1783,1564,1004,1332,794,0,1269,1254,1032,1123,1017,1017,1047,2064,1045,927,1300,1778,678,1840,1728,821,1243,1167,934,1508,433,1282,1317,1453
Detroit,722,711,619,629,281,169,1186,1269,0,3858,2114,432,3673,3673,1214,2245,615,1372,1734,1005,1686,1885,955,3230,3839,3718,2369,392,2732,3667,3782,4001
San Francisco,2475,3100,2910,2712,2131,2460,1733,1254,3858,0,1929,2280,383,383,2092,3114,2174,1904,2275,2906,1627,2891,2875,754,635,88,1733,2636,889,816,808,950
Houston,793,1848,1637,1038,1082,1297,239,1032,2114,1929,0,1052,1546,1546,568,1187,1172,1336,348,1629,445,963,1548,1174,2269,1929,197,1530,1385,2309,2343,2479
Indiana,573,939,757,602,165,298,937,1123,432,2280,1052,0,2105,2105,502,1234,262,733,860,738,777,1011,671,1737,2268,2192,1211,486,1553,2159,2230,2366
Los Angeles,2175,2985,2795,2413,2016,2344,1436,1017,3673,383,1546,2105,0,0,1792,2733,2057,1893,1894,2790,1328,2510,2710,373,963,384,1353,2519,649,1144,1135,1277
Los Angeles,2175,2985,2795,2413,2016,2344,1436,1017,3673,383,1546,2105,0,0,1792,2733,2057,1893,1894,2790,1328,2510,2710,373,963,384,1353,2519,649,1144,1135,1277
Memphis,385,1316,1105,620,532,731,453,1047,1214,2092,568,502,1792,1792,0,1045,622,985,395,1097,466,822,1016,1424,2245,2086,726,972,1479,2215,2287,2423
Miami,663,1491,1280,729,1377,1241,1313,2064,2245,3114,1187,1234,2733,2733,1045,0,1477,1950,866,1277,1511,236,1191,2361,3258,3116,1384,1486,2497,3228,3300,3436
Milwaukee,814,1075,885,853,92,435,1004,1045,615,2174,1172,262,2057,2057,622,1477,0,494,1014,880,869,1250,849,1829,2065,2087,1275,619,1474,1920,1992,2128
Minnesota,1287,1549,1358,1323,566,908,1099,927,1372,1904,1336,733,1893,1893,985,1950,494,0,1379,1355,945,1724,1324,1742,1614,1800,1408,1090,1307,1470,1541,1677
New Orleans,470,1526,1315,715,925,1054,506,1300,1734,2275,348,860,1894,1894,395,866,1014,1379,0,1305,708,640,1224,1520,2537,2275,543,1294,1653,2577,2611,2747
New York,862,215,5,623,789,462,1549,1778,1005,2906,1629,738,2790,2790,1097,1277,880,1355,1305,0,1448,1072,97,2407,2894,2819,1822,491,2206,2781,2852,2988
Oklahoma City,848,1676,1452,1086,794,1055,206,678,1686,1627,445,777,1328,1328,466,1511,869,945,708,1448,0,1286,1384,960,1910,1621,467,1256,1110,1950,1984,2120
Orlando,439,1286,1075,524,1154,1036,1090,1840,1885,2891,963,1011,2510,2510,822,236,1250,1724,640,1072,1286,0,985,2135,3032,2890,1158,1279,2271,3002,3074,3210
Philadelphia,776,311,100,537,758,431,1468,1728,955,2875,1548,671,2710,2710,1016,1191,849,1324,1224,97,1384,985,0,2342,2863,2788,1742,498,2158,2750,2821,2957
Phoenix,1846,2635,2411,2091,1753,2014,1064,821,3230,754,1174,1737,373,373,1424,2361,1829,1742,1520,2407,960,2135,2342,0,1334,755,981,2215,592,1387,1421,1557
Portland,2595,3089,2898,2755,2120,2448,2035,1243,3839,635,2269,2268,963,963,2245,3258,2065,1614,2537,2894,1910,3032,2863,1334,0,581,2071,2624,919,269,173,315
Sacramento,2469,3013,2823,2680,2045,2373,1726,1167,3718,88,1929,2192,384,384,2086,3116,2087,1800,2275,2819,1621,2890,2788,755,581,0,1736,2549,802,761,752,894
San Antonio,988,2043,1832,1233,1241,1456,274,934,2369,1733,197,1211,1353,1353,726,1384,1275,1408,543,1822,467,1158,1742,981,2071,1736,0,1688,1216,2111,2145,2281
Toronto,952,550,495,758,520,293,1415,1508,392,2636,1530,486,2519,2519,972,1486,619,1090,1294,491,1256,1279,498,2215,2624,2549,1688,0,3114,4049,4164,4382
Utah,1834,2401,2210,1994,1432,1760,1151,433,2732,889,1385,1553,649,649,1479,2497,1474,1307,1653,2206,1110,2271,2158,592,919,802,1216,3114,0,959,993,1129
Washington,638,440,229,399,700,373,1329,1661,862,2818,1408,604,2668,2668,876,1053,791,1266,1084,226,1342,846,139,2301,2806,2731,1604,777,2091,0,2761,2897
Seattle,2636,3047,2856,2796,2063,2406,2109,1317,3782,808,2343,2230,1135,1135,2287,3300,1992,1541,2611,2852,1984,3074,2821,1421,173,752,2145,4164,993,2761,0,143
Vancouver,2772,3182,2992,2932,2199,2542,2245,1453,4001,950,2479,2366,1277,1277,2423,3436,2128,1677,2747,2988,2120,3210,2957,1557,315,894,2281,4382,1129,2897,143,0
