Team	Division	City
Atlanta Hawks 	Southeast	Atlanta
Boston Celtics 	Atlantic	Boston
Brooklyn Nets 	Atlantic	Brooklyn
Charlotte Hornets 	Southeast	Charlotte
Chicago Bulls 	Central	Chicago
Cleveland Cavaliers 	Central	Cleveland
Dallas Mavericks 	Southwest	Dallas
Denver Nuggets	Northwest	Denver
Detroit Pistons 	Central	Detroit
Golden State Warriors 	Pacific	San Francisco
Houston Rockets 	Southwest	Houston
Indiana Pacers 	Central	Indiana
LA Clippers	Pacific	Los Angeles Lakers
Los Angeles Lakers 	Pacific	Los Angeles Lakers
Memphis Grizzlies 	Southwest	Memphis
Miami Heat 	Southeast	Miami
Milwaukee Bucks 	Central	Milwaukee
Minnesota Timberwolves	Northwest	Minnesota
New Orleans Pelicans	Southwest	New Orleans
New York Knicks 	Atlantic	New York
Oklahoma City Thunder	Northwest	Oklahoma City
Orlando Magic 	Southeast	Orlando
Philadelphia 76ers 	Atlantic	Philadelphia
Phoenix Suns 	Pacific	Phoenix
Portland Trail Blazers 	Northwest	Portland
Sacramento Kings 	Pacific	Sacramento
San Antonio Spurs	Southwest	San Antonio
Toronto Raptors 	Atlantic	Toronto
Utah Jazz	Northwest	Utah
Washington Wizards 	Southeast	Washington
